2021-HWC_WV
Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI,Source,Source Year
2021,2021 HWC,Asthma - Women - White,West Virginia,40,14.2,0.78,16.6,11.8,AHR data,
2021,2021 HWC,Avoided Care Due to Cost - Women,West Virginia,22,16.6,-0.51,19,14.1,AHR data,
2021,2021 HWC,"Avoided Care Due to Cost - Women - $25-$49,999",West Virginia,18,21.3,-0.37,27.4,15.2,AHR data,
2021,2021 HWC,"Avoided Care Due to Cost - Women - $50-$74,999",West Virginia,,17.2,,24.9,9.6,AHR data,
2021,2021 HWC,"Avoided Care Due to Cost - Women - $75,000 or More",West Virginia,,8.3,,12.1,4.5,AHR data,
2021,2021 HWC,Avoided Care Due to Cost - Women - American Indian/Alaska Native,West Virginia,,,,,,AHR data,
2021,2021 HWC,Avoided Care Due to Cost - Women - Asian,West Virginia,,,,,,AHR data,
2021,2021 HWC,Avoided Care Due to Cost - Women - Black,West Virginia,,,,,,AHR data,
2021,2021 HWC,Avoided Care Due to Cost - Women - College Grad,West Virginia,22,10.8,-0.34,13.8,7.7,AHR data,
2021,2021 HWC,Avoided Care Due to Cost - Women - Hawaiian/Pacific Islander,West Virginia,,,,,,AHR data,
2021,2021 HWC,Avoided Care Due to Cost - Women - High School/GED,West Virginia,24,20.7,-0.26,26.2,15.2,AHR data,
2021,2021 HWC,Avoided Care Due to Cost - Women - Hispanic,West Virginia,,,,,,AHR data,
2021,2021 HWC,"Avoided Care Due to Cost - Women - Less Than $25,000",West Virginia,21,24.5,-0.49,30,19,AHR data,
2021,2021 HWC,Avoided Care Due to Cost - Women - Less than High School,West Virginia,,21.0,,32.7,9.3,AHR data,
2021,2021 HWC,Avoided Care Due to Cost - Women - Multiracial,West Virginia,,,,,,AHR data,
2021,2021 HWC,Avoided Care Due to Cost - Women - Other Race,West Virginia,,,,,,AHR data,
2021,2021 HWC,Avoided Care Due to Cost - Women - Some Post-High School,West Virginia,35,23.1,0.44,28.4,17.9,AHR data,
2021,2021 HWC,Avoided Care Due to Cost - Women - White,West Virginia,26,16.1,-0.23,18.7,13.6,AHR data,
2021,2021 HWC,Avoided Care Due to Cost - Women Ages 18-24,West Virginia,2,11.6,-1.64,16.9,6.3,AHR data,
2021,2021 HWC,Avoided Care Due to Cost - Women Ages 25-34,West Virginia,23,18.7,-0.33,22.9,14.5,AHR data,
2021,2021 HWC,Avoided Care Due to Cost - Women Ages 35-44,West Virginia,34,18.3,0.22,21.8,14.8,AHR data,
2021,2021 HWC,Behavioral Health - Children,West Virginia,44,-1.13,-1.13,,,AHR data,
2021,2021 HWC,Behavioral Health - Women,West Virginia,24,-0.097,-0.097,,,AHR data,
2021,2021 HWC,Behaviors - Children,West Virginia,47,-1.02,-1.02,,,AHR data,
2021,2021 HWC,Behaviors - HWC,West Virginia,42,-0.693,-0.693,,,AHR data,
2021,2021 HWC,Behaviors - Women,West Virginia,35,-0.401,-0.401,,,AHR data,
2021,2021 HWC,Below poverty threshold,West Virginia,,12.7,,13.2,12.2,AHR data,
2021,2021 HWC,Breastfed,West Virginia,46,20.9,-0.94,25.3,16.5,AHR data,
2021,2021 HWC,Breastfeeding Initiation,West Virginia,47,66.7,,67.4,66,AHR data,
2021,2021 HWC,Breastfeeding Initiation - American Indian/Alaska Native,West Virginia,,,,,,AHR data,
2021,2021 HWC,Breastfeeding Initiation - Asian,West Virginia,,88.4,,93.3,83.5,AHR data,
2021,2021 HWC,Breastfeeding Initiation - Black,West Virginia,,61.4,,65.4,57.4,AHR data,
2021,2021 HWC,Breastfeeding Initiation - Hawaiian/Pacific Islander,West Virginia,,,,,,AHR data,
2021,2021 HWC,Breastfeeding Initiation - Hispanic,West Virginia,,80.5,,84.6,76.4,AHR data,
2021,2021 HWC,Breastfeeding Initiation - Multiracial,West Virginia,,64.9,,69.8,60,AHR data,
2021,2021 HWC,Breastfeeding Initiation - White,West Virginia,,66.5,,67.2,65.8,AHR data,
2021,2021 HWC,Cancer - Women,West Virginia,50,5.4,2,6.8,4,AHR data,
2021,2021 HWC,"Cancer - Women - $25-$49,999",West Virginia,,5.6,,8.7,2.5,AHR data,
2021,2021 HWC,"Cancer - Women - $50-$74,999",West Virginia,,,,,,AHR data,
2021,2021 HWC,"Cancer - Women - $75,000 or More",West Virginia,,5.7,,8.7,2.8,AHR data,
2021,2021 HWC,Cancer - Women - Ages 18-24,West Virginia,,,,,,AHR data,
2021,2021 HWC,Cancer - Women - Ages 25-34,West Virginia,,5.7,,8.1,3.4,AHR data,
2021,2021 HWC,Cancer - Women - Ages 35-44,West Virginia,,7.7,,10.1,5.4,AHR data,
2021,2021 HWC,Cancer - Women - American Indian/Alaska Native,West Virginia,,,,,,AHR data,
2021,2021 HWC,Cancer - Women - Asian,West Virginia,,,,,,AHR data,
2021,2021 HWC,Cancer - Women - Black,West Virginia,,,,,,AHR data,
2021,2021 HWC,Cancer - Women - College Grad,West Virginia,,3.6,,5.3,1.9,AHR data,
2021,2021 HWC,Cancer - Women - Hawaiian/Pacific Islander,West Virginia,,,,,,AHR data,
2021,2021 HWC,Cancer - Women - High School/GED,West Virginia,,,,,,AHR data,
2021,2021 HWC,Cancer - Women - Hispanic,West Virginia,,,,,,AHR data,
2021,2021 HWC,"Cancer - Women - Less than $25,000",West Virginia,,9.8,,13.6,6,AHR data,
2021,2021 HWC,Cancer - Women - Less than High School,West Virginia,,,,,,AHR data,
2021,2021 HWC,Cancer - Women - Multiracial,West Virginia,,,,,,AHR data,
2021,2021 HWC,Cancer - Women - Other Race,West Virginia,,,,,,AHR data,
2021,2021 HWC,Cancer - Women - Some Post-High School,West Virginia,,12.3,,16.3,8.3,AHR data,
2021,2021 HWC,Cancer - Women - White,West Virginia,,5.8,,7.4,4.3,AHR data,
2021,2021 HWC,Cardiovascular Disease - Women,West Virginia,,3.7,,4.9,2.5,AHR data,
2021,2021 HWC,"Cardiovascular Disease - Women - $25-$49,999",West Virginia,,,,,,AHR data,
2021,2021 HWC,"Cardiovascular Disease - Women - $50-$74,999",West Virginia,,,,,,AHR data,
2021,2021 HWC,"Cardiovascular Disease - Women - $75,000 or More",West Virginia,,,,,,AHR data,
2021,2021 HWC,Cardiovascular Disease - Women - Ages 18-24,West Virginia,,,,,,AHR data,
2021,2021 HWC,Cardiovascular Disease - Women - Ages 25-34,West Virginia,,,,,,AHR data,
2021,2021 HWC,Cardiovascular Disease - Women - Ages 35-44,West Virginia,,7.2,,9.7,4.7,AHR data,
2021,2021 HWC,Cardiovascular Disease - Women - American Indian/Alaska Native,West Virginia,,,,,,AHR data,
2021,2021 HWC,Cardiovascular Disease - Women - Asian,West Virginia,,,,,,AHR data,
2021,2021 HWC,Cardiovascular Disease - Women - Black,West Virginia,,,,,,AHR data,
2021,2021 HWC,Cardiovascular Disease - Women - College Grad,West Virginia,,,,,,AHR data,
2021,2021 HWC,Cardiovascular Disease - Women - Hawaiian/Pacific Islander,West Virginia,,,,,,AHR data,
2021,2021 HWC,Cardiovascular Disease - Women - High School/GED,West Virginia,,,,,,AHR data,
2021,2021 HWC,Cardiovascular Disease - Women - Hispanic,West Virginia,,,,,,AHR data,
2021,2021 HWC,"Cardiovascular Disease - Women - Less than $25,000",West Virginia,,8.9,,12.8,4.9,AHR data,
2021,2021 HWC,Cardiovascular Disease - Women - Less than High School,West Virginia,,,,,,AHR data,
2021,2021 HWC,Cardiovascular Disease - Women - Multiracial,West Virginia,,,,,,AHR data,
2021,2021 HWC,Cardiovascular Disease - Women - Other Race,West Virginia,,,,,,AHR data,
2021,2021 HWC,Cardiovascular Disease - Women - Some Post-High School,West Virginia,,5.5,,8.2,2.8,AHR data,
2021,2021 HWC,Cardiovascular Disease - Women - White,West Virginia,,3.9,,5.1,2.6,AHR data,
2021,2021 HWC,Cervical Cancer Screening,West Virginia,4,84.7,1.51,88.4,80.9,AHR data,
2021,2021 HWC,"Cervical Cancer Screening - $25-$49,999",West Virginia,,86.5,,94.1,78.8,AHR data,
2021,2021 HWC,"Cervical Cancer Screening - $50-$74,999",West Virginia,,93,,100,85.3,AHR data,
2021,2021 HWC,"Cervical Cancer Screening - $75,000 or More",West Virginia,40,85.8,-0.62,92.6,78.9,AHR data,
2021,2021 HWC,Cervical Cancer Screening - Ages 21-24,West Virginia,,87,,97.2,76.8,AHR data,
2021,2021 HWC,Cervical Cancer Screening - Ages 25-34,West Virginia,3,89.4,1.5,94.5,84.2,AHR data,
2021,2021 HWC,Cervical Cancer Screening - Ages 35-44,West Virginia,45,78.8,-1.41,84.7,72.9,AHR data,
2021,2021 HWC,Cervical Cancer Screening - American Indian/Alaska Native,West Virginia,,,,,,AHR data,
2021,2021 HWC,Cervical Cancer Screening - Asian,West Virginia,,,,,,AHR data,
2021,2021 HWC,Cervical Cancer Screening - Black,West Virginia,,,,,,AHR data,
2021,2021 HWC,Cervical Cancer Screening - College Grad,West Virginia,11,89.9,0.82,94,85.8,AHR data,
2021,2021 HWC,Cervical Cancer Screening - Hawaiian/Pacific Islander,West Virginia,,,,,,AHR data,
2021,2021 HWC,Cervical Cancer Screening - High School/GED,West Virginia,,81.2,,88.8,73.6,AHR data,
2021,2021 HWC,Cervical Cancer Screening - Hispanic,West Virginia,,,,,,AHR data,
2021,2021 HWC,"Cervical Cancer Screening - Less than $25,000",West Virginia,,77.3,,85.7,68.9,AHR data,
2021,2021 HWC,Cervical Cancer Screening - Less than High School,West Virginia,,,,,,AHR data,
2021,2021 HWC,Cervical Cancer Screening - Multiracial,West Virginia,,,,,,AHR data,
2021,2021 HWC,Cervical Cancer Screening - Other Race,West Virginia,,,,,,AHR data,
2021,2021 HWC,Cervical Cancer Screening - Some Post-High School,West Virginia,38,83,-0.55,91.1,74.9,AHR data,
2021,2021 HWC,Cervical Cancer Screening - White,West Virginia,6,84.8,1.03,88.6,81.1,AHR data,
2021,2021 HWC,Child Mortality,West Virginia,34,29.5,0.6,32.6,26.4,AHR data,
2021,2021 HWC,Child Mortality - Ages 1-4,West Virginia,,26.3,,33.7,20.1,AHR data,
2021,2021 HWC,Child Mortality - Ages 15-19,West Virginia,32,58.5,,66.9,50.1,AHR data,
2021,2021 HWC,Child Mortality - Ages 5-14,West Virginia,,15.6,,19,12.6,AHR data,
2021,2021 HWC,Child Mortality - American Indian/Alaska Native,West Virginia,,,,,,AHR data,
2021,2021 HWC,Child Mortality - Asian,West Virginia,,,,,,AHR data,
2021,2021 HWC,Child Mortality - Black,West Virginia,,,,,,AHR data,
2021,2021 HWC,Child Mortality - Female,West Virginia,41,22.9,,26.8,18.9,AHR data,
2021,2021 HWC,Child Mortality - Hispanic,West Virginia,,,,,,AHR data,
2021,2021 HWC,Child Mortality - Male,West Virginia,29,35.8,,40.6,31,AHR data,
2021,2021 HWC,Child Mortality - White,West Virginia,43,30.5,,33.8,27.2,AHR data,
2021,2021 HWC,Child Victimization,West Virginia,49,18.7,1.83,,,AHR data,
2021,2021 HWC,Childhood Immunizations,West Virginia,25,77.0,0.25,82.7,70.9,AHR data,
2021,2021 HWC,Children in Poverty,West Virginia,44,20.1,0.74,21.9,18.3,AHR data,
2021,2021 HWC,Children in Poverty - American Indian/Alaska Native,West Virginia,,,,,,AHR data,
2021,2021 HWC,Children in Poverty - American Indian/Alaska Native (5 year),West Virginia,,,,,,AHR data,
2021,2021 HWC,Children in Poverty - Asian,West Virginia,,,,,,AHR data,
2021,2021 HWC,Children in Poverty - Asian (5 year),West Virginia,,14.4,,20.1,8.7,AHR data,
2021,2021 HWC,Children in Poverty - Black,West Virginia,,44.5,,56.8,32.2,AHR data,
2021,2021 HWC,Children in Poverty - Black (5 year),West Virginia,,43.5,,48.1,38.9,AHR data,
2021,2021 HWC,Children in Poverty - Hawaiian/Pacific Islander,West Virginia,,,,,,AHR data,
2021,2021 HWC,Children in Poverty - Hawaiian/Pacific Islander (5 year),West Virginia,,,,,,AHR data,
2021,2021 HWC,Children in Poverty - Hispanic,West Virginia,,,,,,AHR data,
2021,2021 HWC,Children in Poverty - Hispanic (5 year),West Virginia,,25.3,,30.2,20.4,AHR data,
2021,2021 HWC,Children in Poverty - Multiracial,West Virginia,,35.8,,44.1,27.5,AHR data,
2021,2021 HWC,Children in Poverty - Multiracial (5 year),West Virginia,,29.2,,32.8,25.6,AHR data,
2021,2021 HWC,Children in Poverty - Other Race,West Virginia,,,,,,AHR data,
2021,2021 HWC,Children in Poverty - Other Race (5 year),West Virginia,,40.6,,57,24.2,AHR data,
2021,2021 HWC,Children in Poverty - White,West Virginia,,18.3,,20.1,16.5,AHR data,
2021,2021 HWC,Children in Poverty - White (5 year),West Virginia,,22.6,,23.4,21.8,AHR data,
2021,2021 HWC,Children in Poverty Racial Disparity,West Virginia,1,1.9,-0.96,,,AHR data,
2021,2021 HWC,Children in Poverty Racial Gap,West Virginia,,2.4,,,,AHR data,
2021,2021 HWC,Children with Special Health Care Needs,West Virginia,,23.2,1.56,26.2,20.3,AHR data,
2021,2021 HWC,Chlamydia - Women,West Virginia,1,724.3,-2,,,AHR data,
2021,2021 HWC,Chlamydia - Women - American Indian/Alaska Native,West Virginia,,,,,,AHR data,
2021,2021 HWC,Chlamydia - Women - Asian,West Virginia,,315.4,,,,AHR data,
2021,2021 HWC,Chlamydia - Women - Black,West Virginia,,2322.4,,,,AHR data,
2021,2021 HWC,Chlamydia - Women - Hawaiian/Pacific Islander,West Virginia,,,,,,AHR data,
2021,2021 HWC,Chlamydia - Women - Hispanic,West Virginia,,384.2,,,,AHR data,
2021,2021 HWC,Chlamydia - Women - White,West Virginia,,533.5,,,,AHR data,
2021,2021 HWC,Chronic Kidney Disease - Women,West Virginia,,1.5,,2.3,0.7,AHR data,
2021,2021 HWC,"Chronic Kidney Disease - Women - $25-$49,999",West Virginia,,,,,,AHR data,
2021,2021 HWC,"Chronic Kidney Disease - Women - $50-$74,999",West Virginia,,,,,,AHR data,
2021,2021 HWC,"Chronic Kidney Disease - Women - $75,000 or More",West Virginia,,,,,,AHR data,
2021,2021 HWC,Chronic Kidney Disease - Women - Ages 18-24,West Virginia,,,,,,AHR data,
2021,2021 HWC,Chronic Kidney Disease - Women - Ages 25-34,West Virginia,,,,,,AHR data,
2021,2021 HWC,Chronic Kidney Disease - Women - Ages 35-44,West Virginia,,,,,,AHR data,
2021,2021 HWC,Chronic Kidney Disease - Women - American Indian/Alaska Native,West Virginia,,,,,,AHR data,
2021,2021 HWC,Chronic Kidney Disease - Women - Asian,West Virginia,,,,,,AHR data,
2021,2021 HWC,Chronic Kidney Disease - Women - Black,West Virginia,,,,,,AHR data,
2021,2021 HWC,Chronic Kidney Disease - Women - College Grad,West Virginia,,,,,,AHR data,
2021,2021 HWC,Chronic Kidney Disease - Women - Hawaiian/Pacific Islander,West Virginia,,,,,,AHR data,
2021,2021 HWC,Chronic Kidney Disease - Women - High School/GED,West Virginia,,,,,,AHR data,
2021,2021 HWC,Chronic Kidney Disease - Women - Hispanic,West Virginia,,,,,,AHR data,
2021,2021 HWC,"Chronic Kidney Disease - Women - Less than $25,000",West Virginia,,,,,,AHR data,
2021,2021 HWC,Chronic Kidney Disease - Women - Less than High School,West Virginia,,,,,,AHR data,
2021,2021 HWC,Chronic Kidney Disease - Women - Multiracial,West Virginia,,,,,,AHR data,
2021,2021 HWC,Chronic Kidney Disease - Women - Other Race,West Virginia,,,,,,AHR data,
2021,2021 HWC,Chronic Kidney Disease - Women - Some Post-High School,West Virginia,,,,,,AHR data,
2021,2021 HWC,Chronic Kidney Disease - Women - White,West Virginia,,1.4,,2.2,0.6,AHR data,
2021,2021 HWC,Chronic Obstructive Pulmonary Disease - Women,West Virginia,,6.0,,7.4,4.5,AHR data,
2021,2021 HWC,"Chronic Obstructive Pulmonary Disease - Women - $25-$49,999",West Virginia,,5.0,,7.9,2.1,AHR data,
2021,2021 HWC,"Chronic Obstructive Pulmonary Disease - Women - $50-$74,999",West Virginia,,,,,,AHR data,
2021,2021 HWC,"Chronic Obstructive Pulmonary Disease - Women - $75,000 or More",West Virginia,,,,,,AHR data,
2021,2021 HWC,Chronic Obstructive Pulmonary Disease - Women - Ages 18-24,West Virginia,,,,,,AHR data,
2021,2021 HWC,Chronic Obstructive Pulmonary Disease - Women - Ages 25-34,West Virginia,,5.2,,7.7,2.7,AHR data,
2021,2021 HWC,Chronic Obstructive Pulmonary Disease - Women - Ages 35-44,West Virginia,,10.1,,13,7.3,AHR data,
2021,2021 HWC,Chronic Obstructive Pulmonary Disease - Women - American Indian/Alaska Native,West Virginia,,,,,,AHR data,
2021,2021 HWC,Chronic Obstructive Pulmonary Disease - Women - Asian,West Virginia,,,,,,AHR data,
2021,2021 HWC,Chronic Obstructive Pulmonary Disease - Women - Black,West Virginia,,,,,,AHR data,
2021,2021 HWC,Chronic Obstructive Pulmonary Disease - Women - College Grad,West Virginia,,,,,,AHR data,
2021,2021 HWC,Chronic Obstructive Pulmonary Disease - Women - Hawaiian/Pacific Islander,West Virginia,,,,,,AHR data,
2021,2021 HWC,Chronic Obstructive Pulmonary Disease - Women - High School/GED,West Virginia,,10.1,,14.1,6,AHR data,
2021,2021 HWC,Chronic Obstructive Pulmonary Disease - Women - Hispanic,West Virginia,,,,,,AHR data,
2021,2021 HWC,"Chronic Obstructive Pulmonary Disease - Women - Less than $25,000",West Virginia,,16.2,,21.3,11.2,AHR data,
2021,2021 HWC,Chronic Obstructive Pulmonary Disease - Women - Less than High School,West Virginia,,21.8,,34.3,9.4,AHR data,
2021,2021 HWC,Chronic Obstructive Pulmonary Disease - Women - Multiracial,West Virginia,,,,,,AHR data,
2021,2021 HWC,Chronic Obstructive Pulmonary Disease - Women - Other Race,West Virginia,,,,,,AHR data,
2021,2021 HWC,Chronic Obstructive Pulmonary Disease - Women - Some Post-High School,West Virginia,,7.2,,10.1,4.2,AHR data,
2021,2021 HWC,Chronic Obstructive Pulmonary Disease - Women - White,West Virginia,,5.7,,7.2,4.2,AHR data,
2021,2021 HWC,Climate Change Policies,West Virginia,36,0,,,,AHR data,
2021,2021 HWC,Clinical Care - Children,West Virginia,19,0.318,0.318,,,AHR data,
2021,2021 HWC,Clinical Care - HWC,West Virginia,16,0.416,0.416,,,AHR data,
2021,2021 HWC,Clinical Care - Women,West Virginia,12,0.502,0.502,,,AHR data,
2021,2021 HWC,College Graduate - Women,West Virginia,40,30.0,-0.91,32.9,27.2,AHR data,
2021,2021 HWC,"College Graduate - Women - $25-$49,999",West Virginia,32,22.5,-0.28,27.7,17.4,AHR data,
2021,2021 HWC,"College Graduate - Women - $50-$74,999",West Virginia,17,46.5,0.61,56.5,36.5,AHR data,
2021,2021 HWC,"College Graduate - Women - $75,000 or More",West Virginia,34,60.4,-0.63,66.8,53.9,AHR data,
2021,2021 HWC,College Graduate - Women - Ages 25-34,West Virginia,32,30.5,-0.54,34.9,26,AHR data,
2021,2021 HWC,College Graduate - Women - Ages 35-44,West Virginia,43,29.6,-1.21,33.3,26,AHR data,
2021,2021 HWC,College Graduate - Women - American Indian/Alaska Native,West Virginia,,,,,,AHR data,
2021,2021 HWC,College Graduate - Women - Asian,West Virginia,,,,,,AHR data,
2021,2021 HWC,College Graduate - Women - Black,West Virginia,,,,,,AHR data,
2021,2021 HWC,College Graduate - Women - Hawaiian/Pacific Islander,West Virginia,,,,,,AHR data,
2021,2021 HWC,College Graduate - Women - Hispanic,West Virginia,,,,,,AHR data,
2021,2021 HWC,"College Graduate - Women - Less Than $25,000",West Virginia,,10.3,,13.6,6.9,AHR data,
2021,2021 HWC,College Graduate - Women - Multiracial,West Virginia,,,,,,AHR data,
2021,2021 HWC,College Graduate - Women - Other Race,West Virginia,,,,,,AHR data,
2021,2021 HWC,College Graduate - Women - White,West Virginia,47,30.4,-1.58,33.3,27.4,AHR data,
2021,2021 HWC,Community and Family Safety - Women,West Virginia,23,0.41,0.41,,,AHR data,
2021,2021 HWC,Concentrated Disadvantage,West Virginia,34,25.8,0.07,,,AHR data,
2021,2021 HWC,"Dedicated HC Provider - Women - $25-$49,999",West Virginia,12,78.8,1.02,84.9,72.7,AHR data,
2021,2021 HWC,"Dedicated HC Provider - Women - $50-$74,999",West Virginia,24,81.6,0.45,89.9,73.2,AHR data,
2021,2021 HWC,"Dedicated HC Provider - Women - $75,000 or More",West Virginia,17,87.7,0.83,91.8,83.5,AHR data,
2021,2021 HWC,Dedicated HC Provider - Women - Ages 18-24,West Virginia,5,79.0,1.8,85.5,72.5,AHR data,
2021,2021 HWC,Dedicated HC Provider - Women - Ages 25-34,West Virginia,13,76.7,1.07,81.2,72.2,AHR data,
2021,2021 HWC,Dedicated HC Provider - Women - Ages 35-44,West Virginia,20,82.6,0.58,86.1,79.1,AHR data,
2021,2021 HWC,Dedicated HC Provider - Women - American Indian/Alaska Native,West Virginia,,,,,,AHR data,
2021,2021 HWC,Dedicated HC Provider - Women - Asian,West Virginia,,,,,,AHR data,
2021,2021 HWC,Dedicated HC Provider - Women - Black,West Virginia,,,,,,AHR data,
2021,2021 HWC,Dedicated HC Provider - Women - College Grad,West Virginia,8,87.7,1.32,91.1,84.3,AHR data,
2021,2021 HWC,Dedicated HC Provider - Women - Hawaiian/Pacific Islander,West Virginia,,,,,,AHR data,
2021,2021 HWC,Dedicated HC Provider - Women - High School/GED,West Virginia,17,77.1,0.94,82.8,71.4,AHR data,
2021,2021 HWC,Dedicated HC Provider - Women - Hispanic,West Virginia,,,,,,AHR data,
2021,2021 HWC,"Dedicated HC Provider - Women - Less than $25,000",West Virginia,13,76.4,1.26,82.1,70.7,AHR data,
2021,2021 HWC,Dedicated HC Provider - Women - Less than High School,West Virginia,,73.4,,86.4,60.3,AHR data,
2021,2021 HWC,Dedicated HC Provider - Women - Multiracial,West Virginia,,,,,,AHR data,
2021,2021 HWC,Dedicated HC Provider - Women - Other Race,West Virginia,,,,,,AHR data,
2021,2021 HWC,Dedicated HC Provider - Women - Some Post-High School,West Virginia,35,76.0,-0.11,81.4,70.6,AHR data,
2021,2021 HWC,Dedicated HC Provider - Women - White,West Virginia,17,79.9,0.57,82.7,77.1,AHR data,
2021,2021 HWC,Dedicated Health Care Provider - Women,West Virginia,12,79.5,1.2,82.2,76.8,AHR data,
2021,2021 HWC,Dental Visit - Women,West Virginia,44,61.3,-1.25,65.8,56.9,AHR data,
2021,2021 HWC,"Dental Visit - Women - $25-$49,999",West Virginia,32,59.4,-0.41,69.3,49.5,AHR data,
